"ENSG" "gn_symbol"
"1" "ENSG00000186092" "OR4F5"
"2" "ENSG00000284733" "OR4F29"
"3" "ENSG00000284662" "OR4F16"
"4" "ENSG00000187634" "SAMD11"
"5" "ENSG00000188976" "NOC2L"
"6" "ENSG00000187961" "KLHL17"
"7" "ENSG00000187583" "PLEKHN1"
"8" "ENSG00000187642" "PERM1"
"9" "ENSG00000188290" "HES4"
"10" "ENSG00000187608" "ISG15"
"11" "ENSG00000188157" "AGRN"
"12" "ENSG00000237330" "RNF223"
"13" "ENSG00000131591" "C1orf159"
"14" "ENSG00000162571" "TTLL10"
"15" "ENSG00000186891" "TNFRSF18"
"16" "ENSG00000186827" "TNFRSF4"
"17" "ENSG00000078808" "SDF4"
"18" "ENSG00000176022" "B3GALT6"
"19" "ENSG00000184163" "C1QTNF12"
"20" "ENSG00000160087" "UBE2J2"
"21" "ENSG00000162572" "SCNN1D"
"22" "ENSG00000131584" "ACAP3"
"23" "ENSG00000169972" "PUSL1"
"24" "ENSG00000127054" "INTS11"
"25" "ENSG00000224051" "CPTP"
"26" "ENSG00000169962" "TAS1R3"
"27" "ENSG00000107404" "DVL1"
"28" "ENSG00000162576" "MXRA8"
"29" "ENSG00000175756" "AURKAIP1"
"30" "ENSG00000221978" "CCNL2"
"31" "ENSG00000242485" "MRPL20"
"32" "ENSG00000235098" "ANKRD65"
"33" "ENSG00000205116" "TMEM88B"
"34" "ENSG00000179403" "VWA1"
"35" "ENSG00000215915" "ATAD3C"
"36" "ENSG00000160072" "ATAD3B"
"37" "ENSG00000197785" "ATAD3A"
"38" "ENSG00000205090" "TMEM240"
"39" "ENSG00000160075" "SSU72"
"40" "ENSG00000228594" "FNDC10"
"41" "ENSG00000197530" "MIB2"
"42" "ENSG00000189409" "MMP23B"
"43" "ENSG00000248333" "CDK11B"
"44" "ENSG00000189339" "SLC35E2B"
"45" "ENSG00000008128" "CDK11A"
"46" "ENSG00000008130" "NADK"
"47" "ENSG00000078369" "GNB1"
"48" "ENSG00000169885" "CALML6"
"49" "ENSG00000178821" "TMEM52"
"50" "ENSG00000142609" "CFAP74"
"51" "ENSG00000187730" "GABRD"
"52" "ENSG00000067606" "PRKCZ"
"53" "ENSG00000162585" "FAAP20"
"54" "ENSG00000157933" "SKI"
"55" "ENSG00000116151" "MORN1"
"56" "ENSG00000157916" "RER1"
"57" "ENSG00000157911" "PEX10"
"58" "ENSG00000149527" "PLCH2"
"59" "ENSG00000157881" "PANK4"
"60" "ENSG00000197921" "HES5"
"61" "ENSG00000157873" "TNFRSF14"
"62" "ENSG00000157870" "PRXL2B"
"63" "ENSG00000142606" "MMEL1"
"64" "ENSG00000215912" "TTC34"
"65" "ENSG00000169717" "ACTRT2"
"66" "ENSG00000142611" "PRDM16"
"67" "ENSG00000130762" "ARHGEF16"
"68" "ENSG00000162591" "MEGF6"
"69" "ENSG00000158109" "TPRG1L"
"70" "ENSG00000116213" "WRAP73"
"71" "ENSG00000078900" "TP73"
"72" "ENSG00000162592" "CCDC27"
"73" "ENSG00000235169" "SMIM1"
