"ENSG" "neuroectoderm" "mesoderm" "endoderm"
"1" "ENSG00000000005" 1 0 0
"2" "ENSG00000000419" 1 1 1
"3" "ENSG00000000460" 0 1 0
"4" "ENSG00000001036" 0 0 1
"5" "ENSG00000001497" 1 0 0
"6" "ENSG00000001629" 0 0 1
"7" "ENSG00000001630" 1 0 1
"8" "ENSG00000002330" 0 0 1
"9" "ENSG00000002919" 0 1 0
"10" "ENSG00000002933" 1 0 0
"11" "ENSG00000003249" 1 0 0
"12" "ENSG00000003400" 1 0 0
"13" "ENSG00000003509" 0 0 1
"14" "ENSG00000004399" 0 1 0
"15" "ENSG00000004478" 1 0 0
"16" "ENSG00000004487" 1 0 0
"17" "ENSG00000004700" 0 1 0
"18" "ENSG00000004779" 0 1 0
"19" "ENSG00000004799" 0 0 1
"20" "ENSG00000004838" 0 0 1
"21" "ENSG00000004864" 1 0 0
"22" "ENSG00000004948" 1 0 1
"23" "ENSG00000004961" 0 0 1
"24" "ENSG00000005001" 1 0 0
"25" "ENSG00000005007" 0 0 1
"26" "ENSG00000005020" 0 0 1
"27" "ENSG00000005059" 1 1 0
"28" "ENSG00000005156" 0 1 1
"29" "ENSG00000005194" 0 1 0
"30" "ENSG00000005249" 0 0 1
"31" "ENSG00000005339" 0 1 0
"32" "ENSG00000005436" 0 0 1
"33" "ENSG00000005448" 1 0 0
"34" "ENSG00000005471" 0 0 1
"35" "ENSG00000005486" 0 0 1
"36" "ENSG00000005700" 0 0 1
"37" "ENSG00000005812" 0 1 0
"38" "ENSG00000005884" 0 0 1
"39" "ENSG00000005889" 1 1 0
"40" "ENSG00000006007" 0 1 0
"41" "ENSG00000006015" 0 0 1
"42" "ENSG00000006025" 1 0 0
"43" "ENSG00000006047" 1 0 0
"44" "ENSG00000006059" 0 1 0
"45" "ENSG00000006071" 1 0 0
"46" "ENSG00000006074" 0 0 1
"47" "ENSG00000006377" 0 1 0
"48" "ENSG00000006451" 0 0 1
"49" "ENSG00000006468" 0 0 1
"50" "ENSG00000006576" 0 1 0
"51" "ENSG00000006606" 0 0 1
"52" "ENSG00000006638" 0 1 0
"53" "ENSG00000006715" 1 0 0
"54" "ENSG00000006744" 0 0 1
"55" "ENSG00000007001" 0 1 0
"56" "ENSG00000007062" 0 0 1
"57" "ENSG00000007080" 0 0 1
"58" "ENSG00000007129" 0 1 0
"59" "ENSG00000007171" 0 0 1
"60" "ENSG00000007174" 1 0 0
"61" "ENSG00000007202" 0 1 1
"62" "ENSG00000007237" 0 0 1
"63" "ENSG00000007255" 0 1 0
"64" "ENSG00000007306" 0 0 1
"65" "ENSG00000007384" 0 1 0
"66" "ENSG00000007392" 0 1 0
"67" "ENSG00000007516" 1 0 0
"68" "ENSG00000007520" 1 0 0
"69" "ENSG00000007541" 0 1 0
"70" "ENSG00000008083" 0 0 1
"71" "ENSG00000008086" 0 0 1
"72" "ENSG00000008118" 0 0 1
"73" "ENSG00000008130" 0 0 1
"74" "ENSG00000008197" 0 0 1
"75" "ENSG00000008294" 1 0 0
"76" "ENSG00000008438" 0 0 1
"77" "ENSG00000008838" 1 0 1
"78" "ENSG00000008952" 1 0 0
"79" "ENSG00000009307" 1 0 0
"80" "ENSG00000009694" 1 0 0
"81" "ENSG00000009724" 0 0 1
"82" "ENSG00000009954" 0 0 1
"83" "ENSG00000010017" 0 1 1
"84" "ENSG00000010219" 0 0 1
"85" "ENSG00000010282" 0 1 0
"86" "ENSG00000010318" 0 0 1
"87" "ENSG00000010322" 1 0 0
"88" "ENSG00000010404" 1 0 0
"89" "ENSG00000010626" 1 0 0
"90" "ENSG00000010671" 1 0 0
"91" "ENSG00000011009" 0 1 0
"92" "ENSG00000011198" 1 0 0
"93" "ENSG00000011258" 0 0 1
"94" "ENSG00000011422" 0 0 1
"95" "ENSG00000011454" 0 1 0
"96" "ENSG00000011478" 0 1 0
"97" "ENSG00000011523" 1 1 0
"98" "ENSG00000011590" 1 0 0
"99" "ENSG00000011600" 0 1 1
"100" "ENSG00000012048" 0 1 0
"101" "ENSG00000012061" 1 0 0
"102" "ENSG00000012174" 0 0 1
"103" "ENSG00000012232" 1 0 1
"104" "ENSG00000012660" 0 0 1
"105" "ENSG00000013275" 1 1 1
"106" "ENSG00000013297" 1 0 0
"107" "ENSG00000013441" 0 1 0
"108" "ENSG00000013503" 1 0 0
"109" "ENSG00000013561" 1 0 0
"110" "ENSG00000013583" 1 0 1
"111" "ENSG00000013588" 0 1 0
"112" "ENSG00000013725" 0 1 0
"113" "ENSG00000013810" 0 1 0
"114" "ENSG00000014919" 0 0 1
"115" "ENSG00000015171" 0 1 0
"116" "ENSG00000015413" 0 0 1
"117" "ENSG00000015475" 0 1 0
"118" "ENSG00000015479" 1 1 0
"119" "ENSG00000016082" 0 0 1
"120" "ENSG00000017260" 1 0 0
"121" "ENSG00000017373" 0 0 1
"122" "ENSG00000017797" 0 0 1
"123" "ENSG00000018408" 1 0 0
"124" "ENSG00000018625" 1 0 0
"125" "ENSG00000019549" 1 0 1
"126" "ENSG00000020577" 0 1 0
"127" "ENSG00000020922" 0 0 1
"128" "ENSG00000021488" 0 1 0
"129" "ENSG00000021574" 0 1 0
"130" "ENSG00000021826" 0 0 1
"131" "ENSG00000022567" 1 0 0
"132" "ENSG00000023191" 0 1 0
"133" "ENSG00000023228" 0 0 1
"134" "ENSG00000023572" 1 0 1
"135" "ENSG00000023697" 0 1 0
"136" "ENSG00000023734" 1 0 1
"137" "ENSG00000023892" 0 0 1
"138" "ENSG00000024526" 0 1 1
"139" "ENSG00000025039" 0 1 0
"140" "ENSG00000025156" 0 0 1
"141" "ENSG00000025770" 0 1 1
"142" "ENSG00000025796" 0 0 1
"143" "ENSG00000026751" 1 0 0
"144" "ENSG00000026950" 0 1 0
"145" "ENSG00000027644" 0 0 1
"146" "ENSG00000027869" 1 0 0
"147" "ENSG00000028310" 0 0 1
"148" "ENSG00000029153" 0 0 1
"149" "ENSG00000030582" 0 1 0
"150" "ENSG00000031003" 0 0 1
"151" "ENSG00000031698" 1 0 0
"152" "ENSG00000031823" 0 0 1
"153" "ENSG00000032219" 0 0 1
"154" "ENSG00000032389" 1 0 0
"155" "ENSG00000033011" 0 0 1
"156" "ENSG00000033050" 1 0 1
"157" "ENSG00000033122" 0 0 1
"158" "ENSG00000033327" 0 0 1
"159" "ENSG00000034510" 0 0 1
"160" "ENSG00000034533" 0 0 1
"161" "ENSG00000034677" 1 0 0
"162" "ENSG00000034971" 0 0 1
"163" "ENSG00000035664" 1 0 0
"164" "ENSG00000035928" 1 0 0
"165" "ENSG00000036257" 0 0 1
"166" "ENSG00000036473" 0 1 0
"167" "ENSG00000037042" 1 0 0
"168" "ENSG00000037280" 0 1 0
"169" "ENSG00000037897" 0 0 1
"170" "ENSG00000038210" 0 1 0
"171" "ENSG00000038219" 0 1 1
"172" "ENSG00000038295" 0 1 0
"173" "ENSG00000038382" 1 0 0
"174" "ENSG00000039068" 0 0 1
"175" "ENSG00000039123" 1 0 0
"176" "ENSG00000039600" 0 1 1
"177" "ENSG00000039987" 1 0 1
"178" "ENSG00000040341" 0 1 0
"179" "ENSG00000040933" 1 0 0
"180" "ENSG00000041515" 0 0 1
"181" "ENSG00000042088" 0 0 1
"182" "ENSG00000042317" 0 1 0
"183" "ENSG00000042429" 0 0 1
"184" "ENSG00000042980" 0 1 0
"185" "ENSG00000043093" 1 0 1
"186" "ENSG00000043355" 0 0 1
"187" "ENSG00000043514" 1 0 0
"188" "ENSG00000044012" 1 0 0
"189" "ENSG00000044115" 0 0 1
"190" "ENSG00000044446" 1 0 0
"191" "ENSG00000044524" 0 0 1
"192" "ENSG00000046653" 0 0 1
"193" "ENSG00000047457" 1 0 0
"194" "ENSG00000047597" 1 0 1
"195" "ENSG00000048028" 1 1 0
"196" "ENSG00000048140" 1 0 0
"197" "ENSG00000048392" 1 1 0
"198" "ENSG00000048405" 0 0 1
"199" "ENSG00000048540" 1 1 0
"200" "ENSG00000048544" 0 0 1
"201" "ENSG00000048649" 0 0 1
"202" "ENSG00000048707" 1 0 1
"203" "ENSG00000049089" 1 0 0
"204" "ENSG00000049167" 0 0 1
"205" "ENSG00000049239" 1 0 1
"206" "ENSG00000049245" 0 0 1
"207" "ENSG00000049246" 0 0 1
"208" "ENSG00000049249" 0 1 1
"209" "ENSG00000049283" 0 0 1
"210" "ENSG00000049541" 0 1 0
"211" "ENSG00000049656" 1 0 0
"212" "ENSG00000049759" 1 0 0
"213" "ENSG00000049768" 0 1 0
"214" "ENSG00000049769" 0 0 1
"215" "ENSG00000050344" 0 0 1
"216" "ENSG00000051128" 0 1 0
"217" "ENSG00000051180" 0 1 1
"218" "ENSG00000051596" 0 0 1
"219" "ENSG00000052802" 0 1 0
"220" "ENSG00000053108" 0 1 0
"221" "ENSG00000053371" 1 0 0
"222" "ENSG00000053524" 0 0 1
"223" "ENSG00000053747" 0 1 1
"224" "ENSG00000054179" 0 0 1
"225" "ENSG00000054267" 0 1 0
"226" "ENSG00000054523" 0 1 0
"227" "ENSG00000054793" 1 0 0
"228" "ENSG00000054803" 0 0 1
"229" "ENSG00000055044" 0 0 1
"230" "ENSG00000055208" 1 0 0
"231" "ENSG00000055211" 1 0 0
"232" "ENSG00000055332" 0 0 1
"233" "ENSG00000055483" 0 1 0
"234" "ENSG00000055609" 1 0 0
"235" "ENSG00000055732" 0 0 1
"236" "ENSG00000055950" 0 0 1
